id;skill_set;skill_set_preprocessed
2f8f6ec6000435cfc70039ed1f45306e387558;['Python', 'Celery', 'Flask', 'Redis', 'RabbitMQ', 'PostgreSQL', 'Docker', 'Docker Swarm', 'Sentry', 'Linux', 'Reverse engineering', 'React', 'ES6', 'Git', 'WebSocket'];['python', 'celeri', 'flask', 'redi', 'rabbitmq', 'postgresql', 'docker', 'docker swarm', 'sentri', 'linux', 'revers engin', 'react', 'es6', 'git', 'websocket']
016bea2e0000c902ea0039ed1f514235754343;['Управление лояльностью потребителей', 'Оптимизация бизнес-процессов', 'Руководство коллективом', 'CRM', 'Развитие дистанционных каналов продаж и обслуживания', 'Продажи через интернет', 'Прямые продажи'];['управление лояльностью потребителей', 'оптимизация бизнеспроцессов', 'руководство коллективом', 'crm', 'развитие дистанционных каналов продаж и обслуживания', 'продажи через интернет', 'прямые продажи']
cd9c1e66000109eb5c0039ed1f6d726b6a4937;[];[]
6b8c829b00038ee9470039ed1f6c4a30326a43;['Internet Marketing', 'Яндекс.Метрика', 'Google Analytics', 'Google AdWords', 'Яндекс.Директ', 'Контекстная реклама', 'CRM', 'Управление отношениями с клиентами', 'Интернет-реклама', 'Баннерная реклама', 'Yandex Direct', 'Лидогенерация', 'E-Mail Marketing', 'E-Commerce', 'Social Media Marketing', 'B2C маркетинг', 'B2B Marketing', 'Интернет маркетинг', 'Маркетинг услуг', 'Информационные технологии', 'Usability', 'WEB аналитика', 'ERP Systems', 'RTB', 'CPA', 'Аналитика продаж', 'Автоматизация продаж', 'Автоматизация контекстных кампаний', 'SEM', 'SEO оптимизация'];['internet market', 'яндексметрика', 'googl analyt', 'googl adword', 'яндексдирект', 'контекстная реклама', 'crm', 'управление отношениями с клиентами', 'интернетреклама', 'баннерная реклама', 'yandex direct', 'лидогенерация', 'email market', 'ecommerc', 'social media market', 'b2c маркетинг', 'b2b market', 'интернет маркетинг', 'маркетинг услуг', 'информационные технологии', 'usabl', 'web аналитика', 'erp system', 'rtb', 'cpa', 'аналитика продаж', 'автоматизация продаж', 'автоматизация контекстных кампаний', 'sem', 'seo оптимизация']
337f25cc000380a8ca0039ed1f7745554c5333;['MS Word', 'MS Excel', 'MS PowerPoint', 'Prezi', 'MS SQL', 'Access', 'Mathcad', 'MATLAB', 'C/C++', 'Python', 'Английский язык', 'AutoCAD', 'Windows Forms', 'Qt', 'C#', 'ARIS', 'Pega', 'Atlassian Jira', 'Oxygen Xml Editor', 'Unix', 'SOAP'];['ms word', 'ms excel', 'ms powerpoint', 'prezi', 'ms sql', 'access', 'mathcad', 'matlab', 'cc', 'python', 'английский язык', 'autocad', 'window form', 'qt', 'c', 'ari', 'pega', 'atlassian jira', 'oxygen xml editor', 'unix', 'soap']
13855d8f000403568f0039ed1f796833587a4f;['Web Application Development', 'SQL', 'NoSQL', 'JavaScript', 'Clojure (ClojureScript)', 'React Native', 'GraphQL', 'C#', 'Scrum', 'Управление командой', 'Менторство'];['web applic develop', 'sql', 'nosql', 'javascript', 'clojur clojurescript', 'react nativ', 'graphql', 'c', 'scrum', 'управление командой', 'менторство']
ef2b55ce0001ef0f400039ed1f4c73726d6464;[];[]
22bd974a00036f11c80039ed1f65375736594e;['MS Visual C++', 'Python', 'JavaScript', 'Английский язык', 'Linux', 'Java EE', 'SQLite', 'Java Core', 'MS SQL', 'Intellij IDEA'];['ms visual c', 'python', 'javascript', 'английский язык', 'linux', 'java ee', 'sqlite', 'java core', 'ms sql', 'intellij idea']
a5d68189000274614d0039ed1f6262706b3948;['Английский язык', 'Тестирование', 'Django Framework', 'Python', 'HTML', 'HTML5', 'CSS3', 'CSS', 'Bootstrap', 'Zend Framework', '.NET Framework', 'ASP.NET', 'JavaScript', 'React.js', 'Node.js', 'API', 'Git', 'C#', 'MS Visual Studio', 'C++', 'MS SQL Server'];['английский язык', 'тестирование', 'django framework', 'python', 'html', 'html5', 'css3', 'css', 'bootstrap', 'zend framework', 'net framework', 'aspnet', 'javascript', 'reactj', 'nodej', 'api', 'git', 'c', 'ms visual studio', 'c', 'ms sql server']
1dbe69160001ae8a390039ed1f364134526d46;['Работа в команде', 'Психология', 'Управление персоналом', 'Медицинская документация', 'Ориентация на результат', 'Административная поддержка руководителя', 'Внутренний контроль', 'Работа с людьми', 'Водительские права категории В', 'Преподаватель', 'Грамотная речь', 'Обучение и развитие'];['работа в команде', 'психология', 'управление персоналом', 'медицинская документация', 'ориентация на результат', 'административная поддержка руководителя', 'внутренний контроль', 'работа с людьми', 'водительские права категории в', 'преподаватель', 'грамотная речь', 'обучение и развитие']
